X,rank_abs_C,p,q,r,zp,zq,zr,Hpqr,den,base_num,single_total_num,pair_total_num,primitive_num,lower_exact,C_exact,C_decimal,abs_C_decimal,total_excess_exact,scaled_reconstruction_error
32,1,37,41,61,2,2,2,0,92537,8192,-36,596,-8752,8752/92537,-8752/92537,-0.094578384862271311,0.094578384862271311,-8192/92537,0
32,2,37,41,59,2,2,2,0,89503,8192,172,-444,-7920,7920/89503,-7920/89503,-0.088488654011597376,0.088488654011597376,-8192/89503,0
32,3,41,59,61,2,2,2,0,147559,8192,-64,2430,-10558,10558/147559,-10558/147559,-0.071551040600708868,0.071551040600708868,-8192/147559,0
32,4,37,59,61,2,2,2,0,133163,8192,24,334,-8550,8550/133163,-8550/133163,-0.064207024473765237,0.064207024473765237,-8192/133163,0
128,1,163,193,241,2,4,2,1,7581619,262144,360,-192296,7511411,70208/7581619,7511411/7581619,0.9907397087614136,0.9907397087614136,7319475/7581619,0
128,2,179,191,251,2,2,2,1,8581439,131072,-260,25682,8424945,156494/8581439,8424945/8581439,0.9817636645788661,0.9817636645788661,8450367/8581439,0
128,3,139,191,197,2,2,2,1,5230153,131072,216,27354,5071511,158642/5230153,5071511/5230153,0.96966780895319893,0.96966780895319893,5099081/5230153,0
128,4,181,227,233,4,2,2,1,9573271,262144,-16,138460,9172683,400588/9573271,9172683/9573271,0.9581555771271909,0.9581555771271909,9311127/9573271,0
128,5,193,227,241,4,2,2,1,10558451,262144,-240,188244,10108303,450148/10558451,10108303/10558451,0.95736609470461154,0.95736609470461154,10296307/10558451,0
128,6,139,151,197,2,2,2,1,4134833,131072,-124,58230,3945655,189178/4134833,3945655/4134833,0.95424772898929655,0.95424772898929655,4003761/4134833,0
128,7,179,193,211,2,4,2,1,7289417,262144,1432,115016,6910825,378592/7289417,6910825/7289417,0.94806278746297545,0.94806278746297545,7027273/7289417,0
128,8,163,181,191,2,4,2,1,5635073,262144,576,33078,5339275,295798/5635073,5339275/5635073,0.9475076897850303,0.9475076897850303,5372929/5635073,0
128,9,181,197,211,4,2,2,1,7523627,262144,600,135688,7125195,398432/7523627,7125195/7523627,0.94704256338066728,0.94704256338066728,7261483/7523627,0
128,10,179,181,193,2,4,4,1,6253007,524288,384,56432,5671903,581104/6253007,5671903/6253007,0.90706807140948342,0.90706807140948342,5728719/6253007,0
128,11,163,181,193,2,4,4,0,5694079,524288,480,78508,-603276,603276/5694079,-603276/5694079,-0.10594795049383754,0.10594795049383754,-524288/5694079,0
128,12,181,193,211,4,4,2,0,7370863,524288,2928,242832,-770048,770048/7370863,-770048/7370863,-0.10447189155462529,0.10447189155462529,-524288/7370863,0
128,13,139,181,193,2,4,4,0,4855687,524288,1136,-77124,-448300,448300/4855687,-448300/4855687,-0.09232473180417107,0.09232473180417107,-524288/4855687,0
128,14,181,193,233,4,4,2,0,8139389,524288,1920,196620,-722828,722828/8139389,-722828/8139389,-0.088806174517522138,0.088806174517522138,-524288/8139389,0
128,15,151,163,181,2,2,4,0,4454953,262144,-104,121262,-383302,383302/4454953,-383302/4454953,-0.086039516017340695,0.086039516017340695,-262144/4454953,0
128,16,151,181,193,2,4,4,0,5274883,524288,544,-111440,-413392,413392/5274883,-413392/5274883,-0.078369889910354415,0.078369889910354415,-524288/5274883,0
128,17,181,193,197,4,4,2,0,6881801,524288,-496,13820,-537612,537612/6881801,-537612/6881801,-0.078120829125980243,0.078120829125980243,-524288/6881801,0
128,18,139,151,193,2,2,4,0,4050877,262144,616,49574,-312334,312334/4050877,-312334/4050877,-0.077102810082853662,0.077102810082853662,-262144/4050877,0
128,19,181,191,193,4,2,4,0,6672203,524288,1904,-22252,-503940,503940/6672203,-503940/6672203,-0.075528277541915323,0.075528277541915323,-524288/6672203,0
